Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target
1,1,1,14,1,1,1,23,14,6,8,1,0,0,1,0,0,0.018867924528301883,0,0,6,6,6,0.6534216335540839,0,0,6,7,5,0.7646153846153845,0,0.7325581395348838,0.11111111111111112,0.6406869220607662,2
1,1,1,12,1,1,1,13,28,10,10,1,0,0,1,0,1,0.018867924528301883,0,0,8,8,7,0.7000946073793756,0,0,8,8,7,0.7115384615384615,0,0.5930232558139535,1.0,0.3117569352708058,2
1,1,2,16,1,1,1,13,27,5,10,1,0,0,1,0,0,0.037735849056603765,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,0.5930232558139535,1.0,0.3117569352708058,0
1,17,1,11,1,16,1,1,1,5,8,1,0,0,1,0,1,0.07547169811320753,0,0,6,7,6,0.5600756859035004,0,0,6,8,5,0.5923076923076923,0,0.15116279069767458,0.4888888888888888,1.0,2
1,1,1,6,1,1,1,23,27,6,6,1,0,0,1,0,1,0.018867924528301883,0,0,5,7,4,0.7019867549668874,0,0,5,5,5,0.6461538461538461,0,0.37209302325581406,0.4888888888888888,0.7661822985468957,2
1,1,1,15,1,1,1,13,27,10,4,1,0,0,1,0,0,0.05660377358490565,0,0,6,6,5,0.6993377483443708,0,0,6,7,0,0.0,0,0.9186046511627907,0.7999999999999999,0.0,0
1,9,1,10,1,1,1,13,28,6,9,1,0,0,1,0,0,0.018867924528301883,0,0,6,10,1,0.6357615894039735,0,0,6,14,2,0.5923076923076923,0,0.37209302325581406,0.4888888888888888,0.7661822985468957,1
1,8,2,12,1,1,1,13,1,6,5,1,0,0,1,0,0,0.018867924528301883,0,0,7,8,7,0.7049668874172186,0,0,8,8,8,0.7831923076923076,0,0.9186046511627907,0.7999999999999999,0.0,2
1,1,1,8,1,1,1,3,14,4,6,1,0,0,1,0,0,0.05660377358490565,0,0,5,8,4,0.6622516556291391,1,0,5,8,4,0.6596153846153846,2,0.37209302325581406,0.4888888888888888,0.7661822985468957,2
1,1,1,16,1,1,1,13,14,8,8,1,0,0,1,0,0,0.018867924528301883,0,0,7,7,6,0.6181015452538631,0,0,7,8,6,0.7269230769230769,0,0.9999999999999999,0.24444444444444446,0.4147952443857331,1
1,1,3,2,1,1,1,1,1,10,9,0,0,0,1,0,1,0.07547169811320753,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.40697674418604646,0.3111111111111111,0.8031704095112285,2
1,9,4,13,1,1,1,1,28,5,8,1,0,0,1,0,0,0.05660377358490565,0,0,7,14,7,0.6059602649006622,0,0,8,9,8,0.6151923076923077,0,0.5930232558139535,1.0,0.3117569352708058,1
1,1,4,12,1,1,1,13,14,2,2,1,0,0,1,0,0,0.018867924528301883,0,0,8,12,7,0.6811731315042574,0,0,8,12,7,0.6923076923076923,0,0.5930232558139535,1.0,0.3117569352708058,2
1,1,4,14,1,1,1,1,28,5,8,1,0,0,1,0,1,0.037735849056603765,0,0,6,8,6,0.7086092715231788,0,0,6,7,6,0.6615384615384615,0,0.40697674418604646,0.3111111111111111,0.8031704095112285,2
1,1,1,12,1,1,1,13,14,4,8,0,0,0,1,0,0,0.037735849056603765,0,0,7,8,6,0.704459161147903,0,0,8,9,7,0.7599999999999999,0,0.40697674418604646,0.3111111111111111,0.8031704095112285,2
1,1,1,10,1,1,1,13,28,10,10,1,0,1,1,0,1,0.018867924528301883,0,0,6,8,5,0.614569536423841,0,0,6,12,4,0.5923076923076923,0,0.0,0.7555555555555555,0.5785997357992074,1
1,8,2,10,1,1,1,13,28,8,9,1,0,0,1,0,0,0.07547169811320753,0,0,6,9,6,0.6026490066225165,0,0,6,9,6,0.7153846153846154,0,0.9999999999999999,0.24444444444444446,0.4147952443857331,2
1,1,1,6,1,1,1,13,14,4,4,1,0,0,1,0,0,0.018867924528301883,0,0,5,9,5,0.6710816777041942,2,0,5,7,4,0.7,0,0.2093023255813954,0.0,0.12417437252311753,1
1,1,1,9,1,1,1,13,1,10,10,1,0,0,1,0,0,0.05660377358490565,0,0,5,6,5,0.6357615894039735,0,0,5,6,5,0.6641025641025641,0,0.9999999999999999,0.24444444444444446,0.4147952443857331,2
1,8,2,12,1,1,1,3,3,2,11,1,0,0,1,1,0,0.037735849056603765,0,0,7,9,6,0.6852097130242825,0,0,7,7,6,0.7385897435897436,0,0.9999999999999999,0.24444444444444446,0.4147952443857331,1
1,15,1,4,1,14,1,4,5,5,3,0,0,0,1,1,0,0.07547169811320753,0,0,6,15,5,0.6281929990539262,0,0,6,17,5,0.5692307692307692,0,0.9999999999999999,0.24444444444444446,0.4147952443857331,1
1,16,1,5,1,1,1,27,3,16,22,1,0,0,1,1,0,0.05660377358490565,0,2,6,7,6,0.6799116997792495,0,0,6,9,4,0.7215384615384615,0,0.15116279069767458,0.4888888888888888,1.0,2
1,1,1,9,1,1,1,1,1,5,7,0,0,0,0,1,0,0.018867924528301883,0,0,5,9,3,0.6004415011037528,0,0,5,8,2,0.7269230769230769,0,0.15116279069767458,0.4888888888888888,1.0,1
1,9,1,3,0,1,1,13,1,10,6,1,0,0,1,0,0,0.037735849056603765,0,0,6,6,6,0.6710816777041942,0,0,6,8,6,0.7740384615384615,0,0.5581395348837211,0.28888888888888886,0.7727873183619551,2
1,1,1,17,0,1,1,2,27,4,10,0,0,0,1,1,0,0.32075471698113206,0,0,5,6,5,0.656953642384106,0,0,5,9,5,0.7230769230769231,0,0.7325581395348838,0.11111111111111112,0.6406869220607662,2
1,12,1,1,1,1,1,23,27,10,7,0,0,1,0,1,0,0.3773584905660377,0,0,7,7,0,0.0,0,0,7,7,1,0.5384615384615384,0,0.15116279069767458,0.4888888888888888,1.0,0
1,12,1,7,1,8,1,19,27,1,1,1,0,0,1,1,0,0.490566037735849,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,0.0,0.7555555555555555,0.5785997357992074,0
1,14,1,9,1,1,1,22,27,7,7,0,0,0,1,0,0,0.7169811320754718,0,0,5,10,1,0.5298013245033113,0,0,5,8,2,0.6461538461538461,2,0.9999999999999999,0.24444444444444446,0.4147952443857331,0
4,12,1,17,0,1,1,13,14,10,4,1,0,0,1,0,0,0.4150943396226415,0,0,5,8,5,0.5827814569536424,0,0,5,5,5,0.6246153846153846,0,0.0,0.7555555555555555,0.5785997357992074,2
1,15,1,8,1,14,3,4,4,4,7,0,0,1,0,0,0,0.05660377358490565,1,2,6,13,3,0.6181015452538631,0,1,6,11,3,0.6461538461538461,0,0.5581395348837211,0.28888888888888886,0.7727873183619551,0
1,1,5,15,1,1,1,3,3,3,3,0,0,1,1,0,0,0.018867924528301883,0,0,6,6,4,0.6754966887417219,0,0,5,5,0,0.0,0,0.5930232558139535,1.0,0.3117569352708058,0
1,1,2,9,1,1,1,3,14,3,8,1,0,0,1,0,0,0.09433962264150941,0,0,5,5,5,0.7841059602649006,0,0,5,5,5,0.8507692307692307,0,0.15116279069767458,0.4888888888888888,1.0,2
1,1,6,12,1,1,1,1,3,3,3,1,1,0,1,0,0,0.09433962264150941,0,0,7,9,5,0.737907284768212,0,0,8,9,7,0.7723076923076921,0,0.40697674418604646,0.3111111111111111,0.8031704095112285,2
1,8,1,15,1,1,1,1,28,6,6,0,0,0,0,0,0,0.05660377358490565,0,0,6,7,4,0.6887417218543046,0,0,6,7,5,0.7430769230769231,0,0.5581395348837211,0.28888888888888886,0.7727873183619551,0
1,12,1,17,0,1,1,22,27,10,10,0,0,0,1,0,0,0.22641509433962265,0,0,5,0,0,0.0,0,0,5,0,0,0.0,0,0.9999999999999999,0.24444444444444446,0.4147952443857331,0
1,8,1,17,0,1,1,23,28,5,6,0,0,0,1,0,0,0.13207547169811323,0,0,5,9,2,0.609271523178808,0,0,5,11,3,0.7717948717948717,1,0.0,0.7555555555555555,0.5785997357992074,1
1,8,2,10,1,1,1,13,14,10,10,1,0,0,1,0,0,0.018867924528301883,0,0,6,6,6,0.6181015452538631,0,0,6,8,5,0.7107692307692307,0,0.40697674418604646,0.3111111111111111,0.8031704095112285,2
1,8,6,12,1,1,1,22,14,8,8,1,0,0,1,0,1,0.09433962264150941,0,0,7,8,6,0.7161147902869757,0,0,8,9,7,0.7415384615384615,0,0.40697674418604646,0.3111111111111111,0.8031704095112285,2
1,15,1,3,0,14,1,1,14,10,10,0,0,0,1,0,1,0.07547169811320753,0,3,6,6,6,0.609271523178808,0,2,6,7,6,0.7153846153846154,0,0.5581395348837211,0.28888888888888886,0.7727873183619551,2
1,1,1,10,1,1,1,22,28,10,10,0,0,0,1,0,1,0.037735849056603765,0,0,6,7,5,0.6534216335540839,0,0,6,7,6,0.691025641025641,0,0.5930232558139535,1.0,0.3117569352708058,2
1,12,1,11,1,1,1,13,28,10,8,0,0,0,1,0,1,0.13207547169811323,0,0,6,6,6,0.7240618101545253,0,0,6,6,6,0.7628205128205128,0,0.5581395348837211,0.28888888888888886,0.7727873183619551,2
1,1,1,12,1,1,1,22,28,7,7,1,0,0,1,0,1,0.037735849056603765,0,0,8,10,6,0.6269315673289183,0,0,8,10,6,0.6371794871794871,0,0.2093023255813954,0.0,0.12417437252311753,1
1,1,1,15,1,1,1,1,14,8,8,1,0,0,1,0,1,0.05660377358490565,0,0,6,11,4,0.7417218543046358,0,0,6,12,3,0.5923076923076923,0,0.2093023255813954,0.0,0.12417437252311753,1
1,1,3,8,1,1,1,22,27,12,12,0,0,0,1,0,0,0.037735849056603765,0,0,5,7,5,0.7795648060548722,0,0,5,5,5,0.8507692307692307,0,0.0,0.7555555555555555,0.5785997357992074,2
1,12,1,17,0,1,1,23,28,10,10,0,0,0,1,0,0,0.18867924528301888,0,0,5,12,5,0.5615894039735099,0,0,5,10,5,0.5923076923076923,0,0.2093023255813954,0.0,0.12417437252311753,0
1,1,1,12,1,1,1,1,14,6,6,1,0,0,1,0,0,0.018867924528301883,0,0,7,9,7,0.6910963944076527,0,0,8,10,8,0.7320384615384615,0,0.9186046511627907,0.7999999999999999,0.0,2
2,4,1,11,1,3,1,1,3,5,4,0,0,0,1,0,0,0.4150943396226415,0,0,6,10,0,0.0,0,0,6,6,0,0.0,0,0.5581395348837211,0.28888888888888886,0.7727873183619551,0
1,12,1,8,1,15,1,3,3,3,3,1,0,0,1,0,0,0.18867924528301888,0,0,6,9,5,0.6887417218543046,0,5,11,13,10,0.6946153846153846,0,0.5581395348837211,0.28888888888888886,0.7727873183619551,0
1,8,1,12,1,1,1,23,28,8,11,1,0,0,1,0,0,0.018867924528301883,0,0,8,8,8,0.7912582781456954,0,0,8,8,8,0.8041923076923077,0,0.2093023255813954,0.0,0.12417437252311753,2
1,1,3,2,1,1,1,23,27,5,10,1,0,0,1,0,0,0.018867924528301883,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.7555555555555555,0.5785997357992074,1
1,1,2,12,1,1,1,13,14,10,10,0,0,0,1,0,0,0.018867924528301883,0,0,7,8,6,0.6958057395143488,0,0,8,12,7,0.658076923076923,0,0.9999999999999999,0.24444444444444446,0.4147952443857331,2
1,15,1,10,1,14,1,13,1,10,10,0,0,0,1,0,1,0.07547169811320753,0,3,6,7,6,0.6357615894039735,0,2,6,7,6,0.6461538461538461,0,0.7325581395348838,0.11111111111111112,0.6406869220607662,2
1,8,3,2,1,1,1,1,27,5,8,1,0,0,1,1,1,0.037735849056603765,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.37209302325581406,0.4888888888888888,0.7661822985468957,1
1,8,1,5,1,1,1,1,1,4,5,1,0,0,1,1,0,0.037735849056603765,0,0,6,6,5,0.6039735099337749,0,0,6,8,1,0.5384615384615384,0,0.37209302325581406,0.4888888888888888,0.7661822985468957,1
1,14,1,5,1,1,1,1,1,4,4,0,0,0,1,1,0,0.13207547169811323,0,0,6,6,0,0.0,0,0,6,6,0,0.0,0,0.5930232558139535,1.0,0.3117569352708058,1
4,13,1,12,1,12,1,1,1,6,6,1,0,0,1,1,0,0.22641509433962265,0,2,7,10,5,0.6304635761589404,0,1,8,10,5,0.5923076923076923,0,0.7325581395348838,0.11111111111111112,0.6406869220607662,0
1,1,3,2,1,1,1,13,14,6,4,1,0,0,1,1,1,0.037735849056603765,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.37209302325581406,0.4888888888888888,0.7661822985468957,2
1,15,1,4,1,14,1,13,27,10,10,1,0,0,1,1,0,0.1132075471698113,0,0,6,8,6,0.6660359508041627,0,0,6,7,6,0.6692307692307692,0,0.15116279069767458,0.4888888888888888,1.0,2
1,1,3,9,1,1,1,1,28,8,8,0,0,1,1,1,0,0.037735849056603765,0,0,5,8,5,0.5933774834437086,0,0,5,10,4,0.5788461538461538,3,0.9999999999999999,0.24444444444444446,0.4147952443857331,0
1,12,1,11,1,1,1,13,27,8,11,0,0,0,1,1,0,0.169811320754717,0,0,6,7,6,0.6357615894039735,0,0,6,8,5,0.5815384615384616,0,0.5930232558139535,1.0,0.3117569352708058,1
1,8,1,9,1,1,1,23,27,6,6,0,0,0,1,1,0,0.018867924528301883,0,0,5,9,0,0.0,0,0,5,5,0,0.0,0,0.0,0.7555555555555555,0.5785997357992074,1
1,8,1,12,1,1,1,22,14,9,5,0,0,0,1,1,0,0.13207547169811323,0,0,7,8,7,0.6344370860927152,0,0,8,8,8,0.7403846153846153,0,0.7325581395348838,0.11111111111111112,0.6406869220607662,2
1,1,1,2,1,1,1,13,14,6,11,1,0,0,1,1,0,0.037735849056603765,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.9186046511627907,0.7999999999999999,0.0,0
1,8,4,11,1,1,1,23,27,6,8,1,0,0,1,1,0,0.018867924528301883,0,0,6,12,3,0.6181015452538631,0,0,6,12,1,0.6461538461538461,0,0.5581395348837211,0.28888888888888886,0.7727873183619551,0
1,1,2,15,1,1,1,23,28,10,10,1,0,0,1,1,0,0.018867924528301883,0,0,6,8,6,0.6534216335540839,0,0,6,11,3,0.6641025641025641,0,0.37209302325581406,0.4888888888888888,0.7661822985468957,2
1,8,3,9,1,1,1,13,14,5,8,1,0,1,1,1,0,0.018867924528301883,0,0,5,8,3,0.5474613686534217,0,0,5,11,3,0.5846153846153846,0,0.37209302325581406,0.4888888888888888,0.7661822985468957,0
1,9,4,11,1,1,1,13,27,8,8,1,0,0,1,1,1,0.07547169811320753,0,0,6,8,4,0.5562913907284768,0,0,6,11,1,0.5923076923076923,0,0.2093023255813954,0.0,0.12417437252311753,0
1,8,4,15,1,1,1,1,14,10,9,1,0,1,1,1,1,0.037735849056603765,0,0,6,6,6,0.7240618101545253,0,0,6,6,6,0.717948717948718,0,0.15116279069767458,0.4888888888888888,1.0,2
1,8,4,12,1,1,1,23,27,10,10,0,0,0,1,1,1,0.09433962264150941,0,0,7,7,7,0.7863765373699148,0,0,8,9,8,0.8106837606837606,0,0.9999999999999999,0.24444444444444446,0.4147952443857331,2
2,12,1,3,0,1,1,22,27,10,7,0,0,0,1,1,0,0.3018867924528302,0,0,6,8,6,0.6357615894039735,0,0,6,6,6,0.6282051282051281,0,0.37209302325581406,0.4888888888888888,0.7661822985468957,2
1,1,6,16,1,1,1,13,14,10,10,1,0,0,1,1,0,0.05660377358490565,0,0,6,8,5,0.6463576158940397,0,0,6,7,5,0.6569230769230768,0,0.37209302325581406,0.4888888888888888,0.7661822985468957,0
1,12,1,17,0,2,1,3,3,3,3,1,0,0,1,1,0,0.33962264150943394,0,0,1,1,0,0.0,1,0,5,0,0,0.0,0,0.37209302325581406,0.4888888888888888,0.7661822985468957,0
1,12,1,4,1,4,1,3,3,5,3,0,0,1,1,1,0,0.13207547169811323,0,6,12,17,6,0.6445916114790287,0,7,12,14,10,0.7161538461538461,0,0.5581395348837211,0.28888888888888886,0.7727873183619551,0
1,8,1,11,1,1,1,13,14,5,5,0,0,0,1,1,0,0.018867924528301883,0,0,5,6,5,0.6357615894039735,0,0,5,8,3,0.6102564102564102,0,0.5930232558139535,1.0,0.3117569352708058,1
2,12,1,3,0,1,1,22,27,10,7,1,0,0,1,0,0,0.3018867924528302,0,0,6,7,6,0.5827814569536424,0,0,6,11,5,0.5923076923076923,0,0.2093023255813954,0.0,0.12417437252311753,2
1,13,1,12,1,1,1,22,28,10,8,1,0,0,1,0,1,0.09433962264150941,0,0,8,8,7,0.6929801324503311,0,0,8,8,7,0.7043076923076923,0,0.37209302325581406,0.4888888888888888,0.7661822985468957,2
1,12,1,14,1,1,1,1,14,5,6,0,0,0,1,0,1,0.15094339622641512,0,0,5,7,4,0.5562913907284768,0,0,5,7,5,0.6246153846153846,0,0.2093023255813954,0.0,0.12417437252311753,2
1,8,1,5,1,1,1,13,28,5,1,1,0,0,1,1,0,0.05660377358490565,0,0,6,9,6,0.565121412803532,1,0,6,6,5,0.603076923076923,0,0.0,0.7555555555555555,0.5785997357992074,2
1,1,6,9,1,1,1,23,27,10,10,1,0,0,1,1,0,0.1132075471698113,0,0,5,6,4,0.7417218543046358,0,0,5,5,5,0.7430769230769231,0,0.40697674418604646,0.3111111111111111,0.8031704095112285,1
1,14,2,7,1,1,1,23,14,10,7,1,0,1,1,1,0,0.018867924528301883,0,0,5,9,2,0.5298013245033113,0,0,5,9,0,0.0,0,0.9186046511627907,0.7999999999999999,0.0,1
1,12,1,12,1,1,1,1,1,5,11,0,0,0,1,1,0,0.13207547169811323,0,0,7,18,0,0.0,0,0,7,7,0,0.0,0,0.7325581395348838,0.11111111111111112,0.6406869220607662,0
1,8,2,15,1,1,14,13,1,10,10,1,0,0,0,0,0,0.07547169811320753,1,0,6,6,6,0.7417218543046358,0,0,6,6,6,0.7269230769230769,0,0.15116279069767458,0.4888888888888888,1.0,2
1,6,1,8,1,1,14,1,1,5,5,0,0,0,1,0,0,0.169811320754717,1,0,6,7,2,0.6357615894039735,1,0,6,6,0,0.0,0,0.15116279069767458,0.4888888888888888,1.0,0
2,12,1,16,1,8,1,22,24,1,1,0,0,0,1,0,0,0.4150943396226415,0,0,6,12,3,0.6710816777041942,0,0,6,14,0,0.0,1,0.0,0.7555555555555555,0.5785997357992074,0
2,12,1,3,0,1,1,22,14,10,10,0,0,0,1,0,0,0.5094339622641508,0,2,8,11,8,0.6291390728476821,0,0,6,7,6,0.6641025641025641,0,0.5930232558139535,1.0,0.3117569352708058,2
1,6,1,7,1,1,12,23,3,10,3,1,0,0,1,1,0,0.037735849056603765,1,0,5,9,5,0.7417218543046358,0,0,5,11,3,0.7134615384615384,0,0.7325581395348838,0.11111111111111112,0.6406869220607662,1
1,1,5,15,1,1,1,22,1,6,6,1,0,0,1,0,0,0.018867924528301883,0,0,6,6,6,0.7240618101545253,0,0,6,6,6,0.717948717948718,0,0.15116279069767458,0.4888888888888888,1.0,2
1,1,5,12,1,1,1,22,27,8,8,1,0,0,1,0,1,0.018867924528301883,0,0,7,7,7,0.7284768211920529,0,0,8,9,8,0.7795726495726496,0,0.5581395348837211,0.28888888888888886,0.7727873183619551,2
1,1,1,6,1,1,1,1,2,10,2,1,0,0,1,0,0,0.037735849056603765,0,0,5,7,5,0.752317880794702,2,0,5,7,5,0.7430769230769231,0,0.5930232558139535,1.0,0.3117569352708058,1
1,1,4,12,1,1,1,3,3,3,3,1,0,1,0,0,0,0.037735849056603765,0,0,7,10,4,0.6336423841059603,0,0,7,7,0,0.0,0,0.7325581395348838,0.11111111111111112,0.6406869220607662,0
1,17,1,6,1,16,1,23,28,10,10,0,0,0,1,0,0,0.07547169811320753,0,7,10,12,8,0.6821192052980133,0,4,9,14,5,0.7215384615384615,0,0.15116279069767458,0.4888888888888888,1.0,0
1,1,4,2,1,1,1,1,1,10,11,1,0,0,1,0,0,0.05660377358490565,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.9999999999999999,0.24444444444444446,0.4147952443857331,2
2,12,1,3,0,1,1,22,27,7,6,1,0,0,1,0,0,0.3584905660377358,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,0.2093023255813954,0.0,0.12417437252311753,0
4,12,1,4,1,9,1,22,27,10,7,0,0,0,1,0,0,0.490566037735849,0,13,18,19,18,0.7751829905890554,0,10,13,14,13,0.7662721893491123,1,0.9186046511627907,0.7999999999999999,0.0,2
1,9,1,16,1,1,1,13,14,10,8,1,0,0,1,0,0,0.037735849056603765,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,0.40697674418604646,0.3111111111111111,0.8031704095112285,0
1,16,1,5,1,1,1,3,1,3,9,0,0,1,1,0,0,0.05660377358490565,0,4,10,12,10,0.6887417218543046,0,5,11,11,11,0.6608391608391607,0,0.40697674418604646,0.3111111111111111,0.8031704095112285,2
1,1,2,10,1,1,1,22,28,5,8,1,0,0,1,0,0,0.037735849056603765,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,0.9999999999999999,0.24444444444444446,0.4147952443857331,0
1,1,1,6,1,1,1,1,1,5,5,1,0,0,1,0,0,0.05660377358490565,0,0,6,15,4,0.752317880794702,0,0,6,17,4,0.7134615384615384,0,0.9186046511627907,0.7999999999999999,0.0,0
1,1,5,12,1,1,1,3,4,5,4,1,0,0,1,0,0,0.05660377358490565,0,2,7,9,6,0.7028697571743929,0,0,7,10,5,0.6623076923076923,0,0.5581395348837211,0.28888888888888886,0.7727873183619551,0
1,8,2,16,1,1,1,13,1,10,4,1,0,0,1,0,0,0.05660377358490565,0,0,7,12,6,0.6181015452538631,0,0,7,10,3,0.7,0,0.9999999999999999,0.24444444444444446,0.4147952443857331,1
1,1,1,10,1,1,1,22,27,7,8,1,0,0,1,0,0,0.018867924528301883,0,0,6,8,6,0.7341532639545885,0,0,6,6,6,0.8076923076923076,0,0.7325581395348838,0.11111111111111112,0.6406869220607662,2
1,8,2,9,1,1,1,1,28,5,8,1,0,0,1,0,1,0.018867924528301883,0,0,5,9,3,0.6887417218543046,0,0,5,11,3,0.5923076923076923,0,0.15116279069767458,0.4888888888888888,1.0,1
1,1,1,6,1,1,1,13,14,10,10,1,0,0,1,0,0,0.037735849056603765,0,0,5,6,5,0.7099337748344371,0,0,5,5,5,0.6892307692307692,0,0.37209302325581406,0.4888888888888888,0.7661822985468957,2
1,1,3,15,1,1,1,1,28,5,8,1,0,0,1,0,0,0.018867924528301883,0,0,6,6,6,0.6710816777041942,0,0,6,7,6,0.6769230769230768,0,0.37209302325581406,0.4888888888888888,0.7661822985468957,2
1,8,2,12,1,1,1,22,27,10,10,1,0,0,1,0,0,0.018867924528301883,0,0,7,7,6,0.6631346578366445,1,0,7,7,6,0.6739743589743589,1,0.0,0.7555555555555555,0.5785997357992074,0
1,14,1,12,1,1,1,23,28,10,6,0,0,0,1,0,0,0.05660377358490565,0,0,7,11,6,0.6154525386313466,0,0,7,7,7,0.7,0,0.7325581395348838,0.11111111111111112,0.6406869220607662,1
1,8,1,10,1,1,1,13,27,10,8,1,0,0,1,0,1,0.05660377358490565,0,0,6,13,2,0.5298013245033113,0,0,6,12,4,0.5788461538461538,0,0.0,0.7555555555555555,0.5785997357992074,1
1,8,1,9,1,1,1,13,14,4,4,0,0,0,1,0,0,0.05660377358490565,0,0,5,11,3,0.5474613686534217,0,0,5,10,3,0.5743589743589743,0,0.5581395348837211,0.28888888888888886,0.7727873183619551,1
1,1,2,6,1,1,1,22,28,10,8,0,0,0,1,0,0,0.018867924528301883,0,0,5,12,5,0.6963103122043519,2,0,5,6,5,0.6138461538461538,0,0.2093023255813954,0.0,0.12417437252311753,2
1,1,1,9,1,1,1,2,14,5,6,0,0,0,1,0,0,0.018867924528301883,0,0,5,5,5,0.6675496688741722,0,0,5,5,5,0.7538461538461538,0,0.40697674418604646,0.3111111111111111,0.8031704095112285,2
1,8,1,11,1,1,1,1,1,5,6,1,0,0,1,0,0,0.07547169811320753,0,0,6,12,3,0.5827814569536424,0,0,6,12,2,0.5923076923076923,0,0.2093023255813954,0.0,0.12417437252311753,0
1,1,2,9,1,1,1,13,14,10,8,1,0,0,1,0,0,0.037735849056603765,0,0,5,8,5,0.5721854304635762,0,0,5,9,4,0.6057692307692307,2,0.9999999999999999,0.24444444444444446,0.4147952443857331,2
1,1,1,2,1,1,1,3,14,3,10,0,0,0,1,0,0,0.037735849056603765,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.37209302325581406,0.4888888888888888,0.7661822985468957,0
1,1,1,14,1,1,1,23,28,10,10,0,0,0,1,0,1,0.037735849056603765,0,0,5,5,5,0.6781456953642384,0,0,5,5,5,0.7646153846153845,0,0.2093023255813954,0.0,0.12417437252311753,2
